Distance,Radioactivity
0.0,0
0.2,0
0.4,0
0.6,0
0.8,0
1.0,0
1.2,0
1.4,0
1.6,0
1.8,0
2.0,0
2.2,0
2.4,1
2.6,0
2.8,0
3.0,0
3.2,0
3.4,0
3.6,0
3.8,0
4.0,0
4.2,1
4.4,1
4.6,0
4.8,1
5.0,0
5.2,0
5.4,0
5.6,0
5.8,0
6.0,0
6.2,0
6.4,0
6.6,1
6.8,0
7.0,0
7.2,0
7.4,1
7.6,0
7.8,0
8.0,0
8.2,0
8.4,1
8.6,0
8.8,0
9.0,0
9.2,1
9.4,0
9.6,0
9.8,1
10.0,1
10.2,0
10.4,1
10.6,1
10.8,0
11.0,0
11.2,0
11.4,0
11.6,0
11.8,1
12.0,0
12.2,0
12.4,1
12.6,0
12.8,0
13.0,0
13.2,0
13.4,0
13.6,0
13.8,1
14.0,1
14.2,1
14.4,0
14.6,0
14.8,0
15.0,0
15.2,1
15.4,0
15.6,0
15.8,0
16.0,1
16.2,0
16.4,3
16.6,0
16.8,0
17.0,0
17.2,1
17.4,0
17.6,0
17.8,0
18.0,1
18.2,0
18.4,0
18.6,1
18.8,2
19.0,0
19.2,0
19.4,0
19.6,0
19.8,0
20.0,1
20.2,1
20.4,0
20.6,1
20.8,0
21.0,2
21.2,1
21.4,1
21.6,0
21.8,0
22.0,0
22.2,0
22.4,0
22.6,0
22.8,1
23.0,1
23.2,0
23.4,0
23.6,3
23.8,1
24.0,0
24.2,2
24.4,0
24.6,1
24.8,1
25.0,0
25.2,2
25.4,0
25.6,0
25.8,1
26.0,1
26.2,0
26.4,2
26.6,2
26.8,4
27.0,1
27.2,2
27.4,3
27.6,2
27.8,1
28.0,4
28.2,3
28.4,7
28.6,7
28.8,7
29.0,2
29.2,19
29.4,10
29.6,11
29.8,9
30.0,10
30.2,17
30.4,16
30.6,14
30.8,12
31.0,18
31.2,22
31.4,16
31.6,24
31.8,23
32.0,16
32.2,18
32.4,17
32.6,16
32.8,18
33.0,16
33.2,13
33.4,13
33.6,14
33.8,10
34.0,13
34.2,12
34.4,16
34.6,13
34.8,17
35.0,17
35.2,22
35.4,17
35.6,19
35.8,9
36.0,14
36.2,7
36.4,16
36.6,12
36.8,12
37.0,20
37.2,6
37.4,9
37.6,9
37.8,7
38.0,19
38.2,13
38.4,11
38.6,11
38.8,14
39.0,13
39.2,11
39.4,12
39.6,9
39.8,11
40.0,10
40.2,9
40.4,5
40.6,9
40.8,9
41.0,17
41.2,11
41.4,14
41.6,7
41.8,11
42.0,9
42.2,8
42.4,10
42.6,7
42.8,11
43.0,12
43.2,5
43.4,15
43.6,6
43.8,13
44.0,15
44.2,4
44.4,9
44.6,10
44.8,4
45.0,7
45.2,9
45.4,14
45.6,4
45.8,11
46.0,14
46.2,7
46.4,13
46.6,9
46.8,8
47.0,8
47.2,10
47.4,10
47.6,13
47.8,8
48.0,11
48.2,10
48.4,17
48.6,9
48.8,9
49.0,7
49.2,10
49.4,9
49.6,9
49.8,12
50.0,12
50.2,12
50.4,15
50.6,14
50.8,15
51.0,12
51.2,10
51.4,16
51.6,11
51.8,13
52.0,20
52.2,16
52.4,16
52.6,21
52.8,12
53.0,18
53.2,18
53.4,20
53.6,19
53.8,24
54.0,17
54.2,15
54.4,14
54.6,13
54.8,25
55.0,27
55.2,17
55.4,23
55.6,26
55.8,25
56.0,33
56.2,26
56.4,21
56.6,29
56.8,30
57.0,27
57.2,34
57.4,23
57.6,35
57.8,39
58.0,44
58.2,40
58.4,37
58.6,32
58.8,39
59.0,37
59.2,35
59.4,35
59.6,34
59.8,29
60.0,35
60.2,42
60.4,47
60.6,38
60.8,25
61.0,36
61.2,34
61.4,48
61.6,41
61.8,25
62.0,34
62.2,24
62.4,27
62.6,34
62.8,29
63.0,21
63.2,42
63.4,21
63.6,30
63.8,21
64.0,19
64.2,26
64.4,10
64.6,19
64.8,14
65.0,18
65.2,20
65.4,12
65.6,13
65.8,13
66.0,8
66.2,5
66.4,5
66.6,12
66.8,7
67.0,10
67.2,5
67.4,8
67.6,1
